"","Accession_number","ED","Species","Country","City","Host","Collection_date","lat","lon","sum_extracted_values","extracted_temp","extracted_precip","heterogeneity","Geo_location","num_occurrences","DR"
"55","OP734240.1",0.0040630441078508,"Orthoflavivirus nilense","Italy"," Piemonte","Culex pipiens","2023-05-09T00:00:00Z",45.060735,7.923549,175015,1.20173193653895,53.9102220700451,40119.2213438735,"Italy:  Piemonte",2,246.1208821405
"56","OK129332.1",0.00728395577330226,"Orthoflavivirus nilense","Hungary"," Dunaujvaros","Homo sapiens","2022-11-01T00:00:00Z",46.9669545,18.9393976,167859,1.20173193653895,111.768118232099,35612.5351170569,"Hungary:  Dunaujvaros",2,137.28803841249
"57","ON032493.1",0.00718870675741374,"Orthoflavivirus nilense","Italy"," Emilia-Romagna region","Accipiter gentilis","2023-02-07T00:00:00Z",42.83333,12.83333,111328,1.20173193653895,36.6943313741237,35550.6900584795,"Italy:  Emilia-Romagna region",7,139.107079165345
"58","OR091153.1",0.00701118229724155,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,1.20173193653895,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,142.629296687013
"59","OM037672.1",0.00701118229724155,"Orthoflavivirus nilense","Spain"," Tarragona, Catalonia","Accipiter gentilis","2022-04-06T00:00:00Z",41.1172364,1.2546057,442,1.20173193653895,28.4501647949219,29797,"Spain:  Tarragona, Catalonia",2,142.629296687013
"60","MH244510.1",0.00572327768149031,"Orthoflavivirus nilense","Slovakia"," Velky Biel","Accipiter gentilis","2018-06-18T00:00:00Z",48.2160906,17.3570154,155590,0.809176469835961,118.581142289814,36758.1770491803,"Slovakia:  Velky Biel",3,174.725053658345
"61","MW751844.1",0.00564057234289337,"Orthoflavivirus nilense","Serbia"," Sombor","Culex pipiens","2022-07-23T00:00:00Z",45.7727397,19.1147036,161316,0.809176469835961,102.843242931291,32074.1061643835,"Serbia:  Sombor",1,177.286973592301
"62","OK129329.1",0.00564057234289337,"Orthoflavivirus nilense","Hungary"," Enying","Homo sapiens","2022-11-01T00:00:00Z",46.9269341,18.2449727,156129,0.809176469835961,115.574243541114,35378.422818792,"Hungary:  Enying",1,177.286973592301
"63","OK239671.1",0.00512767489502279,"Orthoflavivirus nilense","Hungary"," Ujtelek","Homo sapiens","2022-09-17T00:00:00Z",46.5890819,19.058292,158318,0.809176469835961,107.963514014589,34823.2173913044,"Hungary:  Ujtelek",1,195.020164201645
"64","KF823805.1",0.00512767489502279,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2015-01-29T00:00:00Z",45.07387,11.79109,37,0.809176469835961,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,195.020164201645
"65","OK239665.1",0.00514563004961899,"Orthoflavivirus nilense","Hungary"," Debrecen","Homo sapiens","2022-09-17T00:00:00Z",47.531399,21.6259782,201613,0.809176469835961,115.069227062718,32676.2350993377,"Hungary:  Debrecen",1,194.339661102151
"66","OK129336.1",0.00514563004961899,"Orthoflavivirus nilense","Hungary"," Tahitotfalu","Homo sapiens","2022-11-01T00:00:00Z",47.75434,19.0844571,192787,0.809176469835961,115.858806850153,36264.6930693069,"Hungary:  Tahitotfalu",1,194.339661102151
"67","OP762595.1",0.00575615155302712,"Orthoflavivirus nilense","Netherlands"," Province of Utrecht, Haarzuilens","Phylloscopus collybita","2023-02-13T00:00:00Z",52.12167,4.99722,154,1.27691285684359,130.464619954427,44130.75,"Netherlands:  Province of Utrecht, Haarzuilens",4,173.72718400267
"68","OK129334.1",0.0038562046782811,"Orthoflavivirus nilense","Hungary"," Tisza","Homo sapiens","2022-11-01T00:00:00Z",47.7795902,21.0399878,221710,1.34854824695181,119.055413531244,33660.4801324503,"Hungary:  Tisza",1,259.322334634413
"69","OK239668.1",0.0038562046782811,"Orthoflavivirus nilense","Hungary"," Jaszbereny","Homo sapiens","2022-09-17T00:00:00Z",47.5030505,19.9117887,189393,1.36520051956176,114.722325156459,35266.1561461794,"Hungary:  Jaszbereny",1,259.322334634413
"70","MH244512.1",0.00482307949257344,"Orthoflavivirus nilense","Slovakia"," Velky Biel","Accipiter gentilis","2018-06-18T00:00:00Z",48.2160906,17.3570154,155590,1.37166488007621,118.581142289814,36758.1770491803,"Slovakia:  Velky Biel",3,207.336412667425
"71","OP762593.1",0.00477591670992,"Orthoflavivirus nilense","Netherlands"," Province of Utrecht, Haarzuilens","Culex pipiens","2023-02-13T00:00:00Z",52.12167,4.99722,154,1.37166488007621,130.464619954427,44130.75,"Netherlands:  Province of Utrecht, Haarzuilens",4,209.38388601353
"72","OK239662.1",0.0046800406274796,"Orthoflavivirus nilense","Hungary"," Kiskunhalas","Homo sapiens","2022-09-17T00:00:00Z",46.4278497,19.4833076,168456,0.652218437194824,104.522550157377,33981.8581081081,"Hungary:  Kiskunhalas",1,213.673358758542
"73","KM203861.1",0.00466729647682596,"Orthoflavivirus nilense","Czech Republic"," South Moravia, Nesyt fishpond at Mikulov","Culex modestus","2014-08-16T00:00:00Z",48.80556,16.6378,175,0.652218437194824,99.6861572265624,41893,"Czech Republic:  South Moravia, Nesyt fishpond at Mikulov",1,214.256798333938
"74","OP762594.1",0.00466729647682596,"Orthoflavivirus nilense","Netherlands"," Province of Utrecht, Haarzuilens","","2023-02-13T00:00:00Z",52.12167,4.99722,154,0.652218437194824,130.464619954427,44130.75,"Netherlands:  Province of Utrecht, Haarzuilens",4,214.256798333938
"75","OK239660.1",0.00529715285343072,"Orthoflavivirus nilense","Hungary"," Budapest","Homo sapiens","2022-09-17T00:00:00Z",47.4978918,19.0401609,182482,0.652218437194824,114.799229939779,36056.0866666667,"Hungary:  Budapest",1,188.780657773986
"76","OR091157.1",0.00485497879231562,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,0.603032682853316,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,205.974123220226
"77","OP734244.1",0.00467137159946401,"Orthoflavivirus nilense","Italy"," Veneto","Passer domesticus","2023-05-09T00:00:00Z",45.6476663,11.8665254,116416,0.842081592110173,68.9111591828906,39779.353909465,"Italy:  Veneto",10,214.069889048163
"78","OM037671.1",0.00467137159946401,"Orthoflavivirus nilense","Spain"," Lerida, Catalonia","Accipiter gentilis","2022-04-06T00:00:00Z",41.6147605,0.6267842,163,0.594563657896859,-1.1973876953125,45159.5,"Spain:  Lerida, Catalonia",2,214.069889048163
"79","OP734242.1",0.00469589922750672,"Orthoflavivirus nilense","Italy"," Emilia Romagna","Athene noctua","2023-05-09T00:00:00Z",44.525696,11.039437,80091,0.594563657896859,21.4649037996585,37698.1401869159,"Italy:  Emilia Romagna",7,212.951758875573
"80","OP734243.1",0.00461559178539299,"Orthoflavivirus nilense","Italy"," Emilia Romagna","Culex pipiens","2023-05-09T00:00:00Z",44.525696,11.039437,80091,0.594563657896859,21.4649037996585,37698.1401869159,"Italy:  Emilia Romagna",7,216.656941622244
"81","OM037670.1",0.00461559178539299,"Orthoflavivirus nilense","Spain"," Lerida, Catalonia","Accipiter gentilis","2022-04-06T00:00:00Z",41.6147605,0.6267842,163,0.972369529605682,-1.1973876953125,45159.5,"Spain:  Lerida, Catalonia",2,216.656941622244
"82","OR091154.1",0.00453206701430168,"Orthoflavivirus nilense","Switzerland"," Ticino","Culex pipiens","2023-07-17T00:00:00Z",46.3351913,8.7525902,139094,0.556903247175546,89.6795944940482,40803.2644067797,"Switzerland:  Ticino",7,220.649870543471
"83","OP734238.1",0.00453206701430168,"Orthoflavivirus nilense","Italy"," Emilia Romagna","Pica pica","2023-05-09T00:00:00Z",44.525696,11.039437,80091,1.28529455288616,21.4649037996585,37698.1401869159,"Italy:  Emilia Romagna",7,220.649870543471
"84","KF647248.1",0.0036698541535938,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2013-12-08T00:00:00Z",45.07387,11.79109,37,1.28529455288616,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,272.490392845918
"85","KF647249.1",0.0036698541535938,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2013-12-08T00:00:00Z",45.07387,11.79109,37,1.28529455288616,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,272.490392845918
"86","OK129335.1",0.00424435842385171,"Orthoflavivirus nilense","Hungary"," Martfu","Homo sapiens","2022-11-01T00:00:00Z",47.0186153,20.2813933,197562,1.28529455288616,108.56309604866,34104.2323232323,"Hungary:  Martfu",1,235.606869198504
"87","KM203860.1",0.00424435842385171,"Orthoflavivirus nilense","Czech Republic"," South Moravia, Novy fishpond at Mikulov","Culex modestus","2014-08-16T00:00:00Z",48.80556,16.6378,175,1.28529455288616,99.6861572265624,41893,"Czech Republic:  South Moravia, Novy fishpond at Mikulov",1,235.606869198504
"88","OK239664.1",0.00395550039614319,"Orthoflavivirus nilense","Hungary"," Dunaujvaros","Homo sapiens","2022-09-17T00:00:00Z",46.9669545,18.9393976,167859,1.28529455288616,111.768118232099,35612.5351170569,"Hungary:  Dunaujvaros",2,252.812514182795
"89","KM203862.1",0.00395550039614319,"Orthoflavivirus nilense","Czech Republic"," South Moravia, Mlynsky fishpond at Lednice","Culex modestus","2014-08-16T00:00:00Z",48.79992,16.80339,132,1.28529455288616,101.766581217448,42199,"Czech Republic:  South Moravia, Mlynsky fishpond at Lednice",2,252.812514182795
"90","MW751846.1",0.00489620832147825,"Orthoflavivirus nilense","Serbia"," Subotica","Culex pipiens","2022-07-23T00:00:00Z",46.1002058,19.6653273,169664,1.28529455288616,100.432063798889,32848.3423728814,"Serbia:  Subotica",3,204.239675753437
"91","MH244511.1",0.00548111290544991,"Orthoflavivirus nilense","Slovakia"," Velky Biel","Accipiter gentilis","2018-06-18T00:00:00Z",48.2160906,17.3570154,155590,1.28529455288616,118.581142289814,36758.1770491803,"Slovakia:  Velky Biel",3,182.444700054562
"92","KF823806.1",0.00451902808113076,"Orthoflavivirus nilense","Italy"," Lombardia region, Mantova","Homo sapiens","2015-01-29T00:00:00Z",45.16031,10.79784,288,1.28529455288616,35.455322265625,45875,"Italy:  Lombardia region, Mantova",1,221.286520474504
"93","ON032494.1",0.00451902808113076,"Orthoflavivirus nilense","Italy"," Sardegna region","Accipiter gentilis","2023-02-07T00:00:00Z",37.4036584,13.6151276,38806,1.31328725814819,31.9998024016273,33239.2372881356,"Italy:  Sardegna region",1,221.286520474504
"94","KF647250.1",0.00474083830529998,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2013-12-08T00:00:00Z",45.07387,11.79109,37,1.31328725814819,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,210.93315899048
"95","ON032495.1",0.00474083830529998,"Orthoflavivirus nilense","Italy"," Emilia-Romagna region","Corvus cornix","2023-02-07T00:00:00Z",42.83333,12.83333,111328,1.20239400863648,36.6943313741237,35550.6900584795,"Italy:  Emilia-Romagna region",7,210.93315899048
"96","OQ204314.1",0.00487652906119791,"Orthoflavivirus nilense","Italy"," Tuscany","Culex pipiens","2023-06-13T00:00:00Z",43.4586541,11.1389204,71686,1.35060564676921,13.6826081072375,36058.2342857143,"Italy:  Tuscany",1,205.063886106392
"97","KF647252.1",0.00476838581989249,"Orthoflavivirus nilense","Italy"," Veneto region, Rovigo","Homo sapiens","2013-12-08T00:00:00Z",45.07387,11.79109,37,1.35060564676921,41.3009643554687,39540,"Italy:  Veneto region, Rovigo",7,209.71457381411
"98","MW751834.1",0.00328883021876494,"Orthoflavivirus nilense","Serbia"," Temerin","Culex pipiens","2022-07-23T00:00:00Z",45.4096587,19.8901507,170035,1.35060564676921,98.2113625575822,30582.8184931507,"Serbia:  Temerin",1,304.059478137345
"99","MW751841.1",0.00328883021876494,"Orthoflavivirus nilense","Serbia"," Novi Becej","Culex pipiens","2022-07-23T00:00:00Z",45.5952571,20.1343581,174334,1.35060564676921,97.8047984774151,30818.0819112628,"Serbia:  Novi Becej",1,304.059478137345
"100","KF647251.1",0.00478096756308026,"Orthoflavivirus nilense","Italy"," Veneto region, Padova","Homo sapiens","2013-12-08T00:00:00Z",45.40797,11.88586,41,1.35060564676921,74.3650512695312,42394.75,"Italy:  Veneto region, Padova",1,209.162682408103
"101","OK239659.1",0.00486916231265438,"Orthoflavivirus nilense","Hungary"," Kecskemet","Homo sapiens","2022-09-17T00:00:00Z",46.9073883,19.6917206,184118,1.35060564676921,108.766610295295,34726.037037037,"Hungary:  Kecskemet",1,205.374135382819
"102","MH244513.1",0.00550745368321821,"Orthoflavivirus nilense","Slovakia"," Secovce","Accipiter nisus","2018-06-18T00:00:00Z",48.7015059,21.6555995,185649,1.35060564676921,128.488835187509,31339.2861736334,"Slovakia:  Secovce",1,181.57211254397
"103","JN393308.1",0.00855902469487314,"Orthoflavivirus nilense","South Africa"," Tiegerpoort, Pretoria","Equus caballus","2013-08-26T00:00:00Z",-25.74486,28.18783,13,1.28196493784587,78.5581665039062,28177,"South Africa:  Tiegerpoort, Pretoria",1,116.835741880614
"104","ON813231.1",0.00855902469487314,"Orthoflavivirus nilense","Italy"," Emilia-Romagna region","Pica pica","2023-03-20T00:00:00Z",42.83333,12.83333,111328,1.28196493784587,36.6943313741237,35550.6900584795,"Italy:  Emilia-Romagna region",7,116.835741880614
"105","OP762596.1",0.00862793784287832,"Orthoflavivirus nilense","Netherlands"," Province of Utrecht, Vleuten","Passer domesticus","2023-02-13T00:00:00Z",52.10583,5.01528,165,0.716860135396322,130.464619954427,44130.75,"Netherlands:  Province of Utrecht, Vleuten",2,115.902550320923
