Accession,Organism_Name,Release_Date,Species,Length,Geo_Location,Host,Collection_Date
MW420989.1,West Nile virus,2022-05-08,Orthoflavivirus nilense,10795,Brazil: Minas Gerais,Equus caballus,2018-07-11
MW420987.1,West Nile virus,2022-05-08,Orthoflavivirus nilense,10960,Brazil: Piaui,Equus caballus,2020-08-21
MW420988.1,West Nile virus,2022-05-08,Orthoflavivirus nilense,10801,Brazil: Sao Paulo,Equus caballus,2019-07-30
KF367469.1,West Nile virus,2014-05-19,Orthoflavivirus nilense,10763,British Virgin Islands: Necker Island,Phoenicopterus roseus,2013-03-30
MT341472.1,West Nile virus,2020-04-28,Orthoflavivirus nilense,10787,Bulgaria,Culex,2018-08
KU206781.1,West Nile virus,2016-07-16,Orthoflavivirus nilense,10983,Bulgaria,Homo sapiens,2015-08-27
MH819446.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2015-10-06
MH819447.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2013-08-26
MH819448.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2005-08-31
MH819449.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2014-09-22
MH819450.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2016-08-16
MH819451.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2005-08-12
MH819452.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2015-09-15
MH819453.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2016-08-09
MH819454.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2006-08-29
MH819455.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2006-08-30
MH819456.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2013-09-09
MH819457.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2005-08-19
MH819458.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2005-08-25
MH819459.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2014-09-04
MH819460.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2013-08-19
MH819461.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2004-09-07
MH819462.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2015-09-09
MH819463.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2014-08-21
MH819464.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2004-09-15
MH819465.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2015-09-09
MH819466.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2016-08-16
MH819467.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2013-08-19
MH819468.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2004-08-08
MH819469.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Aedes vexans,2006-08-29
MH819470.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2014-09-15
MH819471.1,West Nile virus,2019-08-31,Orthoflavivirus nilense,10374,Canada,Culex,2004-09-07
GQ851608.1,West Nile virus,2010-09-13,Orthoflavivirus nilense,10964,Central African Republic,,1967
DQ318020.1,West Nile virus,2006-01-01,Orthoflavivirus nilense,11048,Central African Republic,,
JX442279.1,West Nile virus,2014-09-16,Orthoflavivirus nilense,11029,China,Culex pipiens pipiens,2011
KU978766.1,West Nile virus,2017-03-25,Orthoflavivirus nilense,10994,Colombia,Phoenicopterus ruber,2008-07
JN716371.1,West Nile virus,2012-02-27,Orthoflavivirus nilense,10754,Colombia: Medellin,Phoenicopterus ruber,2008-07
JN716372.1,West Nile virus,2012-02-27,Orthoflavivirus nilense,10754,Colombia: Medellin,Phoenicopterus ruber,2008-07
MF797870.1,West Nile virus,2017-09-19,Orthoflavivirus nilense,10982,Cyprus,Homo sapiens,2016-07
GQ903680.1,West Nile virus,2011-10-01,Orthoflavivirus nilense,11062,Cyprus,,1968
GQ421358.1,West Nile virus,2010-05-11,Orthoflavivirus nilense,3091,Czech Republic,Culex pipiens,1999
GQ421359.1,West Nile virus,2010-05-11,Orthoflavivirus nilense,3091,Czech Republic,Aedes rossicus,2006
KM203862.1,West Nile virus,2014-08-16,Orthoflavivirus nilense,11018,"Czech Republic: South Moravia, Mlynsky fishpond at Lednice",Culex modestus,2013-08-08
KM203863.1,West Nile virus,2014-08-16,Orthoflavivirus nilense,11018,"Czech Republic: South Moravia, Mlynsky fishpond at Lednice",Culex modestus,2013-08-08
KM203861.1,West Nile virus,2014-08-16,Orthoflavivirus nilense,11018,"Czech Republic: South Moravia, Nesyt fishpond at Mikulov",Culex modestus,2013-08-08
KM203860.1,West Nile virus,2014-08-16,Orthoflavivirus nilense,11018,"Czech Republic: South Moravia, Novy fishpond at Mikulov",Culex modestus,2013-08-08
HM147824.1,West Nile virus,2011-04-21,Orthoflavivirus nilense,11050,Democratic Republic of the Congo,,1958
LC518897.1,West Nile virus,2020-01-21,Orthoflavivirus nilense,3916,Egypt,Culex,2019-10-24
EU081844.1,West Nile virus,2007-08-26,Orthoflavivirus nilense,11029,Egypt,,
AY603654.1,West Nile virus,2005-05-01,Orthoflavivirus nilense,11029,Ethiopia,,
MT863559.1,West Nile virus,2020-11-17,Orthoflavivirus nilense,10923,France,Equus caballus,2015-10-03
MT863560.1,West Nile virus,2020-11-17,Orthoflavivirus nilense,10997,France,Buteo buteo,2018-09-08
MT863561.1,West Nile virus,2020-11-17,Orthoflavivirus nilense,10995,France,Accipiter gentilis,2018-10-06
DQ786572.1,West Nile virus,2007-07-01,Orthoflavivirus nilense,10938,France,Passer domesticus,2004-10-18
DQ786573.1,West Nile virus,2007-07-01,Orthoflavivirus nilense,10938,France,Pica pica,2004-10-21
OQ326499.1,West Nile virus,2023-04-10,Orthoflavivirus nilense,10305,Germany,Trichoglossus moluccanus,2021-05-19
OX451204.1,West Nile virus,2023-03-11,Orthoflavivirus nilense,10988,Germany,Phoenicopterus chilensis,2020-08-26
OX442271.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Phoenicopterus chilensis,2020-09
OX442272.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10978,Germany,Equus caballus,2020-09-02
OX442273.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Parus major,2020-08
OX442274.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Phoenicopterus sp.,2020-09
OX442275.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Pyrrhocorax graculus,2020-07-12
OX442276.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Buteo,2020-08
OX442277.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Bubo scandiacus,2020-09-02
OX442278.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Serinus canaria,2020-09
OX442279.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10985,Germany,Accipiter gentilis,2020-07-30
OX442280.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Phoenicopterus sp.,2020-08
OX442281.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Passer sp.,2020-09
OX442282.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Phoenicopterus ruber,2020-08-22
OX442283.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Cyanistes caeruleus,2020-08
OX442284.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Bubo scandiacus,2020-07-12
OX442285.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10978,Germany,Accipiter gentilis,2020-08-31
OX442286.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Cyanistes caeruleus,2020-08
OX442287.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10985,Germany,Phoenicopterus sp.,2020-08-18
OX442288.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Cyanistes caeruleus,2020
OX442289.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Accipiter gentilis,2020-08-23
OX442290.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Lathamus discolor,2020-09-21
OX442291.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Bubo scandiacus,2020-09-02
OX442292.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Accipiter gentilis,2020-08
OX442293.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Phoenicopterus chilensis,2020-08-25
OX442294.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Accipiter gentilis,2020-08-14
OX442295.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Athene noctua,2020-09
OX442296.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Cyanistes caeruleus,2020-08
OX442297.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Mergus squamatus,2019
OX442298.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Accipiter gentilis,2020-09
OX442299.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Bombycilla garrulus,2020-08-11
OX442300.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Accipiter gentilis,2020-08-09
OX442301.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Garrulus glandarius,2020-08
OX442302.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Accipiter gentilis,2020-09
OX442303.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Cyanistes caeruleus,2020-08
OX442304.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Bubo scandiacus,2020-08-15
OX442305.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Accipiter gentilis,2020-08-01
OX442306.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Accipiter gentilis,2020-08-08
OX442307.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Accipiter gentilis,2020-08-13
OX442308.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Phoenicopterus sp.,2020-08-19
OX442309.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Athene noctua,2020-08-18
OX442310.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10987,Germany,Equus caballus,2018-09-11
OX442311.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10986,Germany,Corvus cornix,2020-08-18
OX442312.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Accipiter gentilis,2020-06-13
OX442313.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10978,Germany,Equus caballus,2020-09-29
OX442347.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10988,Germany,Cyanistes caeruleus,2020-07-07
OX442348.1,West Nile virus,2023-03-02,Orthoflavivirus nilense,10987,Germany,Accipiter gentilis,2020-09
MZ964751.1,West Nile virus,2021-12-18,Orthoflavivirus nilense,10305,Germany,Homo sapiens,2021-08
MZ964752.1,West Nile virus,2021-12-18,Orthoflavivirus nilense,10305,Germany,Homo sapiens,2021-08
MZ964753.1,West Nile virus,2021-12-18,Orthoflavivirus nilense,10305,Germany,Homo sapiens,2021-08
LR989885.1,West Nile virus,2021-11-25,Orthoflavivirus nilense,11021,Germany,Larus crassirostris,2019
LR989888.1,West Nile virus,2021-11-25,Orthoflavivirus nilense,11046,Germany,Larus crassirostris,2019
LR989891.1,West Nile virus,2021-11-25,Orthoflavivirus nilense,11046,Germany,Mergus squamatus,2019
LR989893.1,West Nile virus,2021-11-25,Orthoflavivirus nilense,11046,Germany,Bubo scandiacus,2018
MW142223.1,West Nile virus,2020-11-29,Orthoflavivirus nilense,11005,Germany,Homo sapiens,2020-08
MW142224.1,West Nile virus,2020-11-29,Orthoflavivirus nilense,11005,Germany,Homo sapiens,2020-08
MW142225.1,West Nile virus,2020-11-29,Orthoflavivirus nilense,10498,Germany,Homo sapiens,2020-08
MW142226.1,West Nile virus,2020-11-29,Orthoflavivirus nilense,11005,Germany,Homo sapiens,2020-08
MW142227.1,West Nile virus,2020-11-29,Orthoflavivirus nilense,11005,Germany,Homo sapiens,2020-08
LR743421.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11029,Germany,Parus major,2019-08-30
LR743422.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11010,Germany,Accipiter gentilis,2019-08-26
LR743423.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11027,Germany,Accipiter gentilis,2019-08-31
LR743424.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11079,Germany,Bubo scandiacus,2019-08-04
LR743425.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11060,Germany,Bubo scandiacus,2019-07-03
LR743426.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11022,Germany,Bubo scandiacus,2019-08-31
LR743427.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11019,Germany,Accipiter gentilis,2019-07-14
LR743428.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11067,Germany,Bubo scandiacus,2019-08-18
LR743429.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,10930,Germany,Strix aluco,2018-09-19
LR743430.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11025,Germany,Cyanistes caeruleus,2019-08-08
LR743431.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11019,Germany,Pluvialis apricaria,2019-09-04
LR743432.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11022,Germany,Phoenicoparrus andinus,2019-08-30
LR743433.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11072,Germany,Accipiter gentilis,2018-09-01
LR743434.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11079,Germany,Strix nebulosa,2018-09-03
LR743435.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11019,Germany,Accipiter gentilis,2019-08-20
LR743436.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11069,Germany,Accipiter gentilis,2018-09-10
LR743437.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11013,Germany,Strix nebulosa,2018-08-31
LR743442.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11073,Germany,Cyanistes caeruleus,2019-08-08
LR743443.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11068,Germany,Bubo scandiacus,2018-09-05
LR743444.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11076,Germany,Strix nebulosa,2019-08-06
LR743445.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11029,Germany,Strix nebulosa,2019-09-03
LR743446.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11018,Germany,Trichoglossus haematodus,2019-08-19
LR743447.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,10995,Germany,Culex pipiens,2019-09-24
LR743448.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11022,Germany,Spheniscus humboldti,2019-09-09
LR743449.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11018,Germany,Accipiter gentilis,2019-09-04
LR743450.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11019,Germany,Phoenicopterus chilensis,2019-09-09
LR743451.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11024,Germany,Bubo scandiacus,2019-09-04
LR743452.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11026,Germany,Strix nebulosa,2019-09-04
LR743453.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11019,Germany,Equus ferus,2019-08-14
LR743454.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11023,Germany,Parus major,2019-09-09
LR743455.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,10995,Germany,Culex pipiens,2019-09-17
LR743456.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11019,Germany,Passer domesticus,2019-08-26
LR743457.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11022,Germany,Accipiter gentilis,2019-09-05
LR743458.1,West Nile virus,2020-06-10,Orthoflavivirus nilense,11022,Germany,Bubo scandiacus,2019-09-03
MN794935.1,West Nile virus,2020-05-01,Orthoflavivirus nilense,11043,Germany,Homo sapiens,2019
MN794936.1,West Nile virus,2020-05-01,Orthoflavivirus nilense,10400,Germany,Homo sapiens,2019
MN794937.1,West Nile virus,2020-05-01,Orthoflavivirus nilense,11056,Germany,Turdus merula,2019
MN794938.1,West Nile virus,2020-05-01,Orthoflavivirus nilense,11056,Germany,Passer domesticus,2019
MN794939.1,West Nile virus,2020-05-01,Orthoflavivirus nilense,11056,Germany,Prunella modularis,2019
MH910045.1,West Nile virus,2019-04-30,Orthoflavivirus nilense,10328,Germany,Homo sapiens,2018-08
MH986055.1,West Nile virus,2019-01-10,Orthoflavivirus nilense,11029,Germany,Turdus merula,2018
MH986056.1,West Nile virus,2019-01-10,Orthoflavivirus nilense,11018,Germany,Turdus merula,2018
MH924836.1,West Nile virus,2018-12-29,Orthoflavivirus nilense,11080,Germany,Strix nebulosa,2018-08-22
OQ053515.1,West Nile virus,2023-02-01,Orthoflavivirus nilense,10992,Greece,Homo sapiens,2022-08-31
OQ053516.1,West Nile virus,2023-02-01,Orthoflavivirus nilense,10989,Greece,Homo sapiens,2022-08-19
OQ053517.1,West Nile virus,2023-02-01,Orthoflavivirus nilense,10989,Greece,Culex pipiens,2022-08-16
OQ053518.1,West Nile virus,2023-02-01,Orthoflavivirus nilense,10993,Greece,Culex pipiens,2022-07-26
OQ053519.1,West Nile virus,2023-02-01,Orthoflavivirus nilense,10993,Greece,Culex pipiens,2022-06-29
OQ053520.1,West Nile virus,2023-02-01,Orthoflavivirus nilense,10994,Greece,Culex pipiens,2022-08-31
OQ053521.1,West Nile virus,2023-02-01,Orthoflavivirus nilense,10996,Greece,Culex pipiens,2022-09-07
OQ053522.1,West Nile virus,2023-02-01,Orthoflavivirus nilense,10981,Greece,Culex pipiens,2022-08-18
